,before,operation,after,probability
0,EMPTY,take-info,reading-menus,1.0
1,reading-menus,take-order,reading-menus,1.0
2,reading-menus,take-info,reading-menus,1.0
3,reading-menus,bring-drinks,reading-menus,1.0
4,reading-menus,NOP,table-waiting,1.0
5,table-waiting,NOP,ready-to-order,0.2
6,ready-to-order,NOP,table-waiting,1.0
7,table-waiting,take-order,table-waiting,1.0
8,table-waiting,bring-drinks,table-waiting,1.0
9,table-waiting,bring-food,table-waiting,1.0
10,table-waiting,NOP,eating,0.2
11,eating,take-info,eating,1.0
12,eating,bring-food,eating,1.0
13,eating,NOP,table-waiting,1.0
14,table-waiting,NOP,ready-for-cleanup,0.2
15,ready-for-cleanup,NOP,table-waiting,1.0
16,table-waiting,take-dishes,ready-for-bill,1.0
17,ready-for-bill,NOP,table-waiting,1.0
18,table-waiting,bring-bill,table-waiting,1.0
19,table-waiting,NOP,ready-for-final-check,0.2
20,ready-for-final-check,take-bill,ready-for-final-check,1.0
21,ready-for-final-check,take-check,ready-for-final-check,1.0
22,ready-for-final-check,clear-table,ready-for-final-check,1.0
23,ready-for-final-check,NOP,table-waiting,1.0
24,table-waiting,bring-check,table-waiting,1.0
25,table-waiting,NOP,ready-to-leave,0.2
