,before,operation,after,probability
0,EMPTY,bring-menus,reading-menus,1.0
1,reading-menus,NOP,reading-menus,0.75
2,reading-menus,NOP,ready-to-order,0.25
3,ready-to-order,NOP,table-waiting,1.0
4,table-waiting,NOP,table-waiting,0.75
5,table-waiting,NOP,eating,0.125
6,eating,NOP,eating,0.833
7,eating,NOP,ready-for-cleanup,0.167
8,ready-for-cleanup,NOP,table-waiting,1.0
9,table-waiting,take-dishes,ready-for-bill,1.0
10,ready-for-bill,NOP,table-waiting,1.0
11,table-waiting,bring-bill,ready-for-final-check,1.0
12,ready-for-final-check,NOP,ready-for-final-check,0.5
13,ready-for-final-check,NOP,table-waiting,0.5
14,table-waiting,NOP,ready-to-leave,0.125
15,ready-to-leave,NOP,table-waiting,1.0
