,start_time,end_time,event,event_type
0,1026,1110,arriving,waiter_action
1,1116,1170,bring:menus,waiter_action
2,1170,1224,leaving,waiter_action
3,7806,7836,arriving,waiter_action
4,7845,8319,take:order,waiter_action
5,8328,8388,leaving,waiter_action
6,8646,8670,arriving,waiter_action
7,8670,8692,bring:menus,waiter_action
8,8694,8719,leaving,waiter_action
9,15096,15150,arriving,waiter_action
10,15150,15158,bring:drinks,waiter_action
11,15159,15165,bring:drinks,waiter_action
12,15165,15186,leaving,waiter_action
13,22026,22074,arriving,waiter_action
14,22086,25716,take:info,waiter_action
15,25731,25833,leaving,waiter_action
16,33390,33480,arriving,waiter_action
17,33489,33585,take:info,waiter_action
18,33585,33633,leaving,waiter_action
19,35933,36036,arriving,waiter_action
20,36041,36766,take:order,waiter_action
21,36766,36796,leaving,waiter_action
22,43546,43634,arriving,waiter_action
23,43634,43703,take:dishes,waiter_action
24,43703,43726,leaving,waiter_action
25,45365,45409,arriving,waiter_action
26,45410,45424,bring:drinks,waiter_action
27,45427,45470,leaving,waiter_action
28,48968,49058,arriving,waiter_action
29,49059,49136,bring:food,waiter_action
30,49143,49229,leaving,waiter_action
31,60049,60116,arriving,waiter_action
32,60119,60252,bring:food,waiter_action
33,60252,60296,leaving,waiter_action
34,60567,60641,arriving,waiter_action
35,60644,60871,take:info,waiter_action
36,60881,60939,take:dishes,waiter_action
37,60939,60986,leaving,waiter_action
38,62353,62400,arriving,waiter_action
39,62404,62501,bring:drinks,waiter_action
40,62503,62570,leaving,waiter_action
41,74607,74674,arriving,waiter_action
42,74674,74697,take:info,waiter_action
43,74697,74727,leaving,waiter_action
44,100050,100209,arriving,waiter_action
45,100209,100810,take:dishes,waiter_action
46,100819,100955,leaving,waiter_action
47,102222,102277,arriving,waiter_action
48,102282,102656,take:info,waiter_action
49,102656,102700,leaving,waiter_action
50,103105,103158,arriving,waiter_action
51,103158,103215,bring:bill,waiter_action
52,103215,103250,leaving,waiter_action
53,106457,106506,arriving,waiter_action
54,106506,106533,take:bill,waiter_action
55,106533,106554,leaving,waiter_action
56,107748,107800,arriving,waiter_action
57,107800,107820,bring:check,waiter_action
58,107822,107854,leaving,waiter_action
59,113959,114021,arriving,waiter_action
60,114021,114147,take:dishes,waiter_action
61,114151,114188,leaving,waiter_action
62,114651,114707,arriving,waiter_action
63,114707,115479,clear:table,waiter_action
64,115484,115544,take:check,waiter_action
65,115545,115865,clear:table,waiter_action
66,115866,115977,leaving,waiter_action
67,30,33660,reading-menus,customer_state
68,33660,33746,table-waiting,customer_state
69,33746,35936,ready-to-order,customer_state
70,35936,49440,table-waiting,customer_state
71,49440,97650,eating,customer_state
72,97650,99990,ready-for-cleanup,customer_state
73,99990,100890,table-waiting,customer_state
74,100890,103080,ready-for-bill,customer_state
75,103080,103365,table-waiting,customer_state
76,103365,107685,ready-for-final-check,customer_state
77,107685,107955,table-waiting,customer_state
78,107955,109785,ready-to-leave,customer_state
