,start_time,end_time,event,event_type
0,514,540,arriving,waiter_action
1,541,609,bring:menus,waiter_action
2,609,753,take:info,waiter_action
3,757,785,leaving,waiter_action
4,9355,9409,arriving,waiter_action
5,9409,10305,take:order,waiter_action
6,10306,11324,take:info,waiter_action
7,11326,11442,leaving,waiter_action
8,14794,14833,arriving,waiter_action
9,14834,14853,bring:drinks,waiter_action
10,14855,14892,leaving,waiter_action
11,20386,20434,arriving,waiter_action
12,20437,22467,take:order,waiter_action
13,22470,22597,leaving,waiter_action
14,22815,22837,arriving,waiter_action
15,22837,22855,bring:drinks,waiter_action
16,22856,22886,leaving,waiter_action
17,37309,37359,arriving,waiter_action
18,37361,37499,bring:food,waiter_action
19,37500,37555,leaving,waiter_action
20,42883,42963,arriving,waiter_action
21,42963,43016,take:info,waiter_action
22,43018,43039,leaving,waiter_action
23,46857,46926,arriving,waiter_action
24,46930,46992,bring:food,waiter_action
25,46992,47064,leaving,waiter_action
26,73450,73503,arriving,waiter_action
27,73505,73613,take:dishes,waiter_action
28,73620,73890,leaving,waiter_action
29,84516,84574,arriving,waiter_action
30,84576,84704,bring:bill,waiter_action
31,84706,84766,leaving,waiter_action
32,88014,88052,arriving,waiter_action
33,88052,88079,take:bill,waiter_action
34,88079,88130,leaving,waiter_action
35,102218,102294,arriving,waiter_action
36,102297,102388,bring:check,waiter_action
37,102389,102530,leaving,waiter_action
38,105095,105164,arriving,waiter_action
39,105210,106350,clear:table,waiter_action
40,106395,106485,take:check,waiter_action
41,106515,107415,clear:table,waiter_action
42,107460,107640,leaving,waiter_action
43,1440,18300,reading-menus,customer_state
44,18300,18330,table-waiting,customer_state
45,18330,20370,ready-to-order,customer_state
46,20370,37680,table-waiting,customer_state
47,37680,72300,eating,customer_state
48,72300,72330,table-waiting,customer_state
49,72330,73500,ready-for-cleanup,customer_state
50,73500,73530,table-waiting,customer_state
51,73530,84510,ready-for-bill,customer_state
52,84510,85620,table-waiting,customer_state
53,85620,102150,ready-for-final-check,customer_state
54,102150,103560,table-waiting,customer_state
55,103560,104490,ready-to-leave,customer_state
