,before,operation,after,probability
0,NONE,NOP,reading-menus,1.0
1,reading-menus,take-info,ready-to-order,1.0
2,ready-to-order,bring-food,eating,1.0
3,eating,take-info,ready-for-cleanup,0.75
4,ready-for-cleanup,take-dishes,ready-for-bill,0.8
5,ready-for-bill,bring-bill,ready-for-final-check,1.0
6,ready-for-final-check,bring-check,ready-to-leave,1.0
7,NONE,bring-menus,reading-menus,1.0
8,ready-to-order,take-info,eating,1.0
9,eating,take-info,eating,0.25
10,eating,NOP,ready-for-cleanup,1.0
11,reading-menus,bring-drinks,ready-to-order,1.0
12,ready-to-order,take-order,ready-for-cleanup,1.0
13,ready-for-cleanup,bring-food,eating,1.0
14,ready-for-cleanup,take-dishes,eating,0.2
15,eating,bring-drinks,ready-for-cleanup,1.0
16,ready-for-cleanup,bring-boxes,ready-for-bill,1.0
17,ready-for-bill,take-dishes,ready-for-final-check,1.0
18,ready-for-final-check,take-bill,ready-for-final-check,1.0
19,ready-for-final-check,take-info,ready-to-leave,1.0
20,reading-menus,NOP,ready-to-order,1.0
21,ready-for-bill,take-bill,ready-for-final-check,1.0
22,NONE,take-info,reading-menus,1.0
23,eating,bring-food,ready-for-cleanup,1.0
